Time,Temp,Humidity
13:05:27,34.6,45.3
13:05:37,34.6,45.9
13:05:42,34.6,45.7
13:05:47,34.6,46.2
13:05:52,34.6,47.4
13:05:57,34.6,47.8
13:06:02,34.6,48.0
13:06:07,34.6,48.1
13:06:12,34.6,48.0
13:06:17,34.6,47.7
13:06:22,34.6,47.0
13:06:27,34.6,46.7
13:06:32,34.6,46.5
13:06:37,34.6,46.9
13:06:42,34.6,47.7
13:06:47,34.6,48.0
13:06:52,34.6,48.3
13:06:57,34.6,48.6
13:07:02,34.6,48.8
13:07:07,34.6,48.9
13:07:12,34.6,49.2
13:07:17,34.6,49.5
13:07:22,34.5,49.7
13:07:27,34.5,49.4
13:07:37,34.5,48.0
13:07:42,34.5,48.1
13:07:47,34.5,48.8
13:07:52,34.5,49.5
13:07:57,34.5,51.0
13:08:02,34.5,51.0
13:08:07,34.6,50.4
13:08:12,34.6,51.4
13:08:17,34.6,52.1
13:08:22,34.7,52.0
13:08:27,34.8,54.1
13:08:32,34.8,53.9
13:08:37,34.8,53.1
13:08:42,34.8,50.9
13:08:47,34.9,49.3
13:08:52,34.9,48.5
13:08:57,34.9,48.5
13:09:07,34.9,50.7
13:09:12,34.9,50.0
13:09:17,34.9,48.4
13:09:22,34.9,47.7
13:09:27,34.9,47.8
13:09:32,34.9,48.2
13:09:37,34.9,48.6
13:09:42,34.9,49.8
13:09:53,34.9,50.6
13:09:58,34.9,49.6
13:10:03,34.9,48.9
13:10:08,34.9,48.0
13:10:13,34.9,47.3
13:10:18,34.8,46.9
13:10:23,34.9,47.1
13:10:28,34.8,48.0
13:10:33,34.8,48.6
13:10:38,34.8,49.3
13:10:43,34.8,48.6
13:10:53,34.8,46.7
13:10:58,34.7,45.9
13:11:03,34.7,46.5
13:11:08,34.7,46.4
13:11:13,34.7,46.3
13:11:18,34.7,46.5
13:11:23,34.7,46.5
14:33:15,32.0,69.1
14:33:25,32.0,70.1
14:33:30,32.0,64.3
14:33:35,32.1,64.6
14:33:40,32.2,70.3
14:33:45,32.2,75.2
14:33:50,32.2,78.4
14:33:55,32.2,80.6
14:34:05,32.1,79.3
14:34:10,32.1,74.4
14:34:15,33.2,81.8
14:34:20,32.9,84.0
14:34:25,33.1,83.1
14:34:30,33.2,79.2
14:34:35,33.5,82.7
14:34:40,33.6,75.0
14:34:45,33.6,67.8
14:34:50,33.6,61.2
14:34:55,33.7,56.8
14:35:00,33.8,54.0
14:35:05,33.8,52.9
14:35:10,33.8,51.3
14:35:15,33.9,50.2
14:35:20,33.9,49.4
14:35:25,34.0,48.9
14:35:30,34.0,48.5
14:35:35,34.1,47.9
14:35:40,34.1,47.7
14:35:45,34.2,47.9
14:35:50,34.2,50.9
14:35:55,34.3,54.8
14:36:00,34.3,53.0
14:36:05,34.4,51.7
14:36:10,34.4,49.9
14:36:15,34.5,51.6
14:36:20,34.5,50.8
14:36:25,34.5,50.4
14:36:30,34.5,50.0
14:36:35,34.5,49.6
14:36:40,34.5,52.7
14:36:46,34.6,57.6
14:36:51,34.6,61.0
14:36:56,34.6,63.3
14:37:01,34.7,65.0
14:37:06,34.6,65.0
14:37:11,34.6,63.3
14:37:16,34.6,63.7
14:37:21,34.7,66.3
14:37:26,34.7,68.4
14:37:31,34.7,69.4
14:37:36,34.7,69.6
14:37:41,34.7,68.2
14:37:46,34.7,62.6
14:37:51,34.6,60.5
14:37:56,34.7,59.7
14:38:01,34.7,61.6
14:38:06,34.7,66.1
14:38:11,34.8,68.6
14:38:16,34.8,66.1
14:38:21,34.9,67.6
14:38:26,34.9,66.5
14:38:31,35.0,67.8
14:38:36,35.1,68.6
14:38:41,35.1,68.4
14:38:46,35.1,68.2
14:38:51,35.2,68.6
14:38:56,35.2,69.0
14:39:01,35.2,64.8
14:39:06,35.3,59.6
14:39:11,35.3,59.5
14:39:16,35.3,57.4
14:39:21,35.3,53.7
14:39:26,35.4,52.5
14:39:31,35.4,50.6
14:39:36,35.3,50.0
14:39:41,35.3,48.8
14:39:46,35.3,49.1
14:39:51,35.3,47.7
14:39:56,35.4,49.8
14:40:01,35.4,50.1
14:40:06,35.4,48.8
14:40:11,35.4,48.1
14:40:16,35.3,47.5
14:40:21,35.4,51.9
14:40:26,35.4,56.6
14:40:31,35.4,56.1
14:40:36,35.4,54.5
14:40:41,35.4,55.2
14:40:46,35.4,56.0
14:40:51,35.4,56.7
14:40:56,35.4,55.2
14:41:01,35.4,53.7
14:41:06,35.4,51.3
14:41:11,35.3,49.5
14:41:16,35.3,48.4
14:41:21,35.3,48.7
14:41:26,35.3,48.2
14:41:31,35.2,48.7
14:41:36,35.2,50.0
14:41:41,35.2,50.7
14:41:46,35.2,51.5
14:41:51,35.2,51.1
14:41:56,35.2,50.5
14:42:01,35.1,50.4
14:42:06,35.1,49.1
14:42:11,35.1,48.6
14:42:16,35.1,48.2
14:42:21,35.1,47.1
14:42:26,35.1,46.5
14:42:31,35.1,46.2
14:42:36,35.0,45.7
14:42:41,35.0,45.3
14:42:46,35.0,45.3
14:42:51,35.0,44.8
14:42:56,35.0,44.6
14:43:01,34.9,45.3
14:43:06,34.9,46.0
14:43:11,34.9,46.6
14:43:16,34.9,46.7
14:43:21,34.9,46.6
14:43:26,34.9,46.5
14:43:31,34.9,46.4
14:43:36,34.8,46.8
14:43:41,34.8,46.7
14:43:46,34.8,46.5
14:43:51,34.8,46.0
14:43:56,34.8,45.7
14:44:01,34.8,45.7
14:44:06,34.8,45.6
14:44:11,34.8,45.3
14:44:16,34.8,45.3
14:44:21,34.8,45.3
14:44:26,34.8,45.4
14:44:31,34.8,46.0
14:44:36,34.8,45.5
14:44:41,34.8,45.3
14:44:46,34.7,45.1
14:44:51,34.8,44.8
14:44:56,34.7,44.7
14:45:01,34.8,44.5
14:45:06,34.8,44.9
14:45:11,34.8,44.9
14:45:16,34.7,45.2
14:45:21,34.8,45.4
14:45:26,34.7,45.6
14:45:31,34.7,45.6
14:45:36,34.8,45.8
14:45:41,34.7,45.9
14:45:46,34.7,45.8
14:45:51,34.7,46.0
14:45:56,34.7,46.4
14:46:01,34.7,46.4
14:46:06,34.7,47.1
14:46:11,34.7,46.7
14:46:16,34.7,46.1
14:46:21,34.7,45.9
14:46:26,34.7,46.1
14:46:31,34.7,45.9
14:46:36,34.7,45.9
14:46:41,34.7,45.9
14:46:46,34.7,46.0
14:46:51,34.7,46.3
14:46:56,34.6,46.9
14:47:01,34.6,47.2
14:47:06,34.6,46.9
14:47:11,34.6,47.0
14:47:16,34.6,47.2
14:47:21,34.6,47.2
14:47:26,34.6,48.4
14:47:31,34.6,51.2
14:47:36,34.6,56.7
14:47:41,34.6,63.2
14:47:46,34.5,67.3
14:47:51,34.5,70.2
14:47:56,34.4,72.2
14:48:01,34.3,73.8
14:48:06,34.3,75.0
14:48:11,34.1,76.2
14:48:16,34.1,77.2
14:48:21,34.0,78.1
14:48:26,33.9,79.0
14:48:31,33.9,79.9
14:48:36,33.8,80.7
14:48:41,33.8,81.5
14:48:46,33.7,82.3
14:48:51,33.6,83.0
14:48:56,33.6,83.7
14:49:01,33.5,76.9
14:49:06,33.4,68.1
14:49:11,33.3,62.3
14:49:16,33.3,58.8
14:49:22,33.3,56.1
14:49:27,33.3,54.5
14:49:32,33.3,53.6
14:49:37,33.3,53.4
14:49:42,33.3,53.0
14:49:47,33.3,52.2
14:49:52,33.4,51.7
14:49:57,33.4,51.6
14:50:02,33.4,51.1
14:50:07,33.4,50.2
14:50:12,33.4,50.3
14:50:17,33.5,50.1
14:50:22,33.5,50.6
14:50:27,33.5,49.9
14:50:32,33.5,49.4
14:50:37,33.5,49.7
14:50:42,33.6,49.9
14:50:47,33.6,50.6
14:50:52,33.6,50.8
14:50:57,33.6,51.2
14:51:02,33.6,51.9
14:51:07,33.6,51.4
14:51:12,33.6,50.6
14:51:17,33.6,50.4
14:51:22,33.7,49.9
14:51:27,33.7,49.5
14:51:32,33.7,49.0
14:51:37,33.7,48.5
14:51:42,33.7,48.1
14:51:47,33.7,47.8
14:51:52,33.8,47.8
14:51:57,33.8,47.9
14:52:02,33.8,47.9
14:52:07,33.8,47.7
14:52:12,33.8,47.2
14:52:17,33.9,46.9
14:52:22,33.9,46.8
14:52:27,33.9,46.9
14:52:32,33.9,46.6
14:52:37,34.0,46.4
14:52:42,34.0,46.3
14:52:47,34.0,46.3
14:52:52,34.0,46.6
14:52:57,34.1,47.1
14:53:02,34.1,47.2
14:53:07,34.1,47.3
14:53:12,34.1,46.9
14:53:17,34.1,46.7
14:53:22,34.1,46.6
14:53:27,34.2,46.4
14:53:32,34.2,46.5
14:53:37,34.2,46.9
14:53:42,34.2,47.0
14:53:47,34.2,47.0
14:53:52,34.2,47.2
14:53:57,34.2,47.0
14:54:02,34.2,47.1
14:54:07,34.2,47.4
14:54:12,34.2,47.8
14:54:17,34.2,48.2
14:54:22,34.2,48.0
14:54:27,34.2,48.0
14:54:32,34.2,48.3
14:54:37,34.2,48.4
14:54:42,34.2,48.6
14:54:47,34.2,48.6
14:54:52,34.2,48.6
14:54:57,34.2,48.5
14:55:02,34.2,48.5
14:55:07,34.2,48.1
14:55:12,34.2,48.1
14:55:17,34.2,47.9
14:55:22,34.2,47.9
14:55:27,34.2,47.8
14:55:32,34.2,48.0
14:55:37,34.2,48.6
14:55:42,34.2,48.9
14:55:47,34.2,48.7
14:55:52,34.2,48.7
14:55:57,34.2,48.6
14:56:02,34.2,48.6
14:56:07,34.2,48.4
14:56:12,34.2,48.3
14:56:17,34.2,48.3
14:56:22,34.1,48.2
14:56:27,34.1,48.1
14:56:32,34.2,48.3
14:56:37,34.1,47.8
14:56:42,34.1,47.7
14:56:47,34.1,47.6
14:56:52,34.1,47.6
14:56:57,34.1,47.5
14:57:02,34.1,47.7
14:57:07,34.1,48.0
14:57:12,34.1,48.0
14:57:17,34.1,48.6
14:57:22,34.0,49.3
14:57:27,34.0,48.9
14:57:32,34.0,49.5
14:57:37,34.0,50.0
14:57:42,34.0,50.0
14:57:47,34.0,49.7
14:57:52,34.0,49.5
14:57:57,34.0,49.3
14:58:02,34.0,49.5
14:58:07,34.0,49.2
14:58:12,34.0,49.1
14:58:17,34.0,49.3
14:58:22,34.0,49.4
14:58:27,34.0,49.3
14:58:32,34.0,48.8
14:58:37,33.9,48.3
14:58:42,34.0,48.0
14:58:47,33.9,48.0
14:58:52,33.9,47.9
14:58:57,33.9,47.9
14:59:02,33.9,48.0
14:59:07,33.9,48.2
14:59:12,33.9,48.2
14:59:17,34.0,48.4
14:59:22,33.9,48.4
14:59:27,33.9,48.9
14:59:32,33.9,48.3
14:59:37,33.9,48.0
14:59:42,34.0,48.0
14:59:47,34.0,48.0
14:59:52,34.0,47.9
14:59:57,34.0,48.1
15:00:02,34.0,48.6
15:00:07,34.0,48.6
15:00:12,34.0,48.2
15:00:17,34.0,47.8
15:00:22,34.0,47.6
15:00:27,34.0,47.7
15:00:32,34.0,48.2
15:00:37,34.0,48.4
15:00:42,34.0,48.8
15:00:47,34.1,49.1
15:00:52,34.0,49.2
15:01:02,34.0,48.6
15:01:07,34.0,48.5
15:01:12,34.1,49.0
15:01:17,34.0,48.8
15:01:22,34.0,48.7
15:01:27,34.0,48.3
15:01:32,34.0,48.4
15:01:37,34.0,48.2
15:01:42,34.0,48.1
15:01:47,34.0,47.8
15:01:52,34.0,48.0
15:01:58,34.0,48.0
15:02:03,34.0,47.9
15:02:08,34.0,47.8
15:02:13,34.0,47.9
15:02:18,34.0,47.9
15:02:23,34.0,47.5
15:02:28,34.0,47.5
15:02:33,34.0,47.7
15:02:38,34.0,48.3
15:02:43,34.0,47.7
15:02:48,34.0,47.1
15:02:53,34.0,47.1
15:02:58,34.0,47.6
15:03:03,34.0,47.0
15:03:08,34.0,46.4
15:03:13,34.1,46.0
15:03:18,34.1,46.0
15:03:23,34.1,46.1
15:03:28,34.1,46.2
15:03:33,34.1,46.4
15:03:38,34.2,46.9
15:03:43,34.2,47.0
15:03:48,34.2,46.9
15:03:53,34.2,46.6
15:03:58,34.2,46.4
15:04:03,34.2,46.6
15:04:08,34.2,46.9
15:04:13,34.2,47.3
15:04:18,34.2,47.2
15:04:23,34.2,46.8
15:04:28,34.2,46.6
15:04:33,34.2,46.3
15:04:38,34.2,46.6
15:04:43,34.2,47.2
15:04:48,34.2,48.2
15:04:53,34.2,48.3
15:04:58,34.1,47.5
15:05:03,34.2,47.0
15:05:08,34.1,46.4
15:05:13,34.1,46.2
15:05:18,34.2,46.0
15:05:23,34.2,45.8
15:05:28,34.2,45.9
15:05:33,34.2,45.9
15:05:38,34.2,46.7
15:05:43,34.2,47.3
15:05:48,34.2,48.2
15:05:53,34.2,48.1
15:05:58,34.2,48.1
15:06:03,34.2,48.1
15:06:08,34.2,47.9
15:06:13,34.2,47.9
15:06:18,34.2,47.7
15:06:23,34.1,47.4
15:06:28,34.2,47.3
15:06:33,34.1,47.8
15:06:38,34.2,48.1
15:06:43,34.1,48.2
15:06:48,34.1,48.2
15:06:53,34.1,48.1
15:06:58,34.1,47.6
15:07:03,34.1,47.9
15:07:08,34.2,47.9
15:07:13,34.1,47.6
15:07:18,34.1,49.3
15:07:23,34.2,49.2
15:07:28,34.2,50.7
15:07:33,34.2,57.5
15:07:38,34.3,60.1
15:07:43,34.4,60.7
15:07:48,34.5,62.2
15:07:53,34.6,63.8
